iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_research_gdp_pct,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_pct_urban,main_language,main_religion,main_religion_pct,atheists_non_religious_pct,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
HTI,Haiti,2142.623305,25224154991,NA,NA,NA,NA,1077659424,3281.212321,64.936,11772557,26865.06038,438.2107031,60.472,Haitian Creole,Christians,88.71865845,9.434687614,1060822,1,France,300140,5,12.48875181,18.93457514,92,8.6,No
HND,Honduras,3426.434833,37093565854,0.05997,187.83669,2033.464218,22245011.44,550766601.6,7178.339068,72.884,10825703,113769.9091,95.15436096,60.818,Spanish,Christians,88.47241211,9.74390316,986048,1,Spain,3966584,7,56.6476897,14.82908028,118,23.5,Yes
HKG,"Hong Kong SAR, China",54107.03452,4.07107E+11,1.10339,5273.74369,39680.1749,4491975041,NA,71505.85157,85.24731707,7524100,1031.227896,7296.253358,100,NA,NA,NA,NA,NA,NA,Unknown,2288072,1,NA,22.39826091,6,41.9,No
HUN,Hungary,23310.75127,2.22905E+11,1.39473,4725.1504,45183.37182,3108919047,NA,45367.59835,76.77073171,9562314,93167.12301,102.6361413,73.179,Hungarian,Christians,72.36884308,26.97590637,2630004,0,Never Colonized,2558916,1,22.48034955,47.16591251,0,22.6,No
ISL,Iceland,82703.85799,33462807983,2.6004,6863.54747,2777.059942,870166858.8,NA,76666.64208,82.60731707,404610,101387.0075,3.990748024,94.094,Icelandic,Christians,74.91873932,19.84541512,72756,0,Never Colonized,2655354,2,0.515719528,64.99788413,0,20.8,No
IND,India,2696.6639,3.91269E+12,0.64558,259.26325,376174.3287,25259519367,2376562012,10323.49987,72.003,1450935791,3162896.3,458.7364408,36.867,Hindi,Hindus,79.36618805,0.003259997,45725,1,Britain,65120109,48,24.35969447,22.77664304,743,7.5,No
IDN,Indonesia,4925.430488,1.3963E+12,0.28068,395.34168,112074.5949,3919135116,1155079468,15415.70793,71.146,283487931,1876354.96,151.0843828,59.204,Indonesian,Muslims,86.96417999,0.092005208,252844,1,Netherlands,5373190,38,48.36194487,-2.264067814,1429,12.2,No
IRN,Iran (Islamic Republic of),4771.40029,4.36906E+11,0.72665,2239.74005,205087.9301,3174779859,240743408.2,17659.87388,77.654,91567738,1626451.94,56.29907392,77.698,NA,NA,NA,NA,NA,0,Never Colonized,1281263,18,6.635439137,32.52733594,46,8.6,No
IRQ,Iraq,6073.610323,2.79641E+11,0.0407,164.28484,7564.005068,113813991.8,2007466675,14652.52124,72.324,46042015,438435.2969,105.0143894,71.853,Arabic,Muslims,99.49835968,0.000798929,336,1,Britain,171087,8,1.900352429,33.0096664,1,1.5,Yes
IRL,Ireland,107316.3373,5.77389E+11,0.96264,5511.65804,29654.13675,5558182042,NA,124900.9386,82.86097561,5380257,68853.61511,78.14051581,64.76,English,Christians,81.21601868,15.6012392,777348,0,Never Colonized,5881745,2,11.40978371,53.16253308,0,14.4,Yes
IMN,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,80.999,84160,558.608841,150.6599857,53.708,English,NA,NA,NA,NA,NA,Unknown,1762513,1,6.070175439,54.22409591,0,5.8,Yes
ISR,Israel,54176.68444,5.4038E+11,6.01924,NA,NA,32526764373,NA,53401.17823,83.19512195,9974400,22101.34827,451.3027838,92.946,Hebrew,Jews,77.0493927,4.374664307,384987,1,Britain,8691674,7,6.469500924,31.43297864,2,24.5,No
ITA,Italy,40226.04724,2.37277E+12,1.39014,2795.53412,164897.4399,32984888099,NA,57893.40836,83.7,58986023,300957.352,195.9946238,72.292,Italian,Christians,80.47179413,13.27242947,7951880,0,Never Colonized,12607616,9,32.53089947,42.71568615,23,21.6,No
JAM,Jamaica,7019.746348,19930288337,NA,NA,NA,NA,86414985.66,11466.97133,71.479,2839175,10956.74547,259.1257602,57.762,Jamaican Patois,Christians,68.61232758,23.74363899,672120,1,Multiple,1074448,3,55.47306556,18.15745087,3,20,No
JPN,Japan,32475.8925,4.02621E+12,3.40537,5629.79566,697956.0056,1.37107E+11,NA,49896.64369,84.04121951,123975371,370923.2397,334.234574,92.134,Japanese,Religiously_unaffiliated,57.45616913,57.45616913,72569752,0,Never Colonized,14932847,9,68.40877915,37.46088048,199,29.7,No
JOR,Jordan,4618.095925,53352289577,0.69547,576.00927,6654.563671,371049168.3,2834251465,10411.84162,77.814,11552876,89059.00092,129.721599,92.206,Arabic,Muslims,97.08689117,0.047398046,5150,1,Britain,203111,6,1.098047165,31.23870264,1,4.5,Yes
KAZ,Kazakhstan,14005.34874,2.88406E+11,0.14472,693.05803,14271.84669,417381363.2,79082290.65,38515.1836,74.402,20592571,2718847.357,7.574007768,58.387,Kazakh,Muslims,77.90452576,2.534446478,493764,0,Never Colonized,710002,19,1.290483832,48.36167091,6,10,No
KEN,Kenya,2206.134979,1.24499E+11,0.80874,200.85225,11334.68378,1006870719,2595822998,6307.232494,63.646,56432944,596152.3241,94.6619542,30.049,Swahili,Christians,85.67028809,1.603437185,837272,1,Britain,6061038,13,6.216624779,0.599448837,86,12.2,No
KIR,Kiribati,2288.634583,307862546.8,NA,NA,NA,NA,98323959.35,3485.558083,66.473,134518,939.7309887,143.1452209,58.448,Kiribati,Christians,97.57009888,0.100478217,127,1,Britain,654162,3,1.456790123,0.892900809,2,22.4,No
PRK,"Korea, Dem. People's Rep.",NA,NA,NA,NA,NA,NA,14424407.01,NA,73.642,26498823,122770.0311,215.8411362,63.503,NA,NA,NA,NA,NA,0,Never Colonized,80646,4,49.90449298,40.14007427,1,2.4,No
KOR,"Korea, Rep.",NA,NA,5.21081,9434.7613,488258.9453,NA,NA,52203.96857,83.42926829,51751065,97362.42719,531.5301446,81.498,NA,NA,NA,NA,NA,0,Never Colonized,8389044,3,64.31352459,36.37336723,9,17,No
KWT,Kuwait,32213.86223,1.60227E+11,0.0976,159.38516,792.7596313,156381818.4,NA,53025.47114,83.18780488,4973861,17368.60119,286.3708451,100,Arabic,Muslims,80.23990631,0.248254478,10924,1,Britain,352300,2,0.350729517,29.33327858,0,17,Yes
KGZ,Kyrgyz Republic,2419.265536,17478259659,0.05876,NA,NA,10270225.38,440522277.8,7298.086126,72.24878049,7224614,199094.949,36.2872792,38.166,NA,NA,NA,NA,NA,0,Never Colonized,304302,8,6.953180396,41.47431036,5,6.7,No
LAO,Lao PDR,2123.979094,16502933121,NA,NA,NA,NA,514838562,9291.78859,68.964,7769819,229459.5405,33.86139004,38.906,NA,NA,NA,NA,NA,1,Unknown,364030,9,71.75476603,18.4874182,39,19,No
LVA,Latvia,23367.59868,43520773851,0.76382,2270.07923,4227.888631,332420374.8,NA,41810.00653,75.67804878,1862441,64405.35486,28.91748681,68.815,Latvian,Christians,77.26760101,16.97382164,322693,0,Never Colonized,930134,1,54.87160534,56.85952165,0,18.2,No
LBN,Lebanon,NA,NA,NA,NA,NA,NA,1747103271,12574.83291,77.817,5805962,10034.46526,578.602033,89.603,Arabic,Muslims,67.78356171,0.018806541,1072,1,France,243364,2,14.06940371,33.92159887,1,1.9,Yes
LSO,Lesotho,971.8146205,2271541846,0.05101,23.73201,55.47174601,1158713.495,172315887.5,2880.96631,57.375,2337423,30094.7937,77.66868327,30.897,Southern Sotho,Christians,97.32347107,1.664903402,37223,1,Britain,150417,2,1.137022398,-29.5790637,0,21.3,No
LBR,Liberia,846.2773684,4.75E+09,NA,NA,NA,NA,562641967.8,1794.533409,62.163,5612817,95879.37474,58.54040053,54.077,English,Christians,85.16896057,1.066497684,54919,0,Never Colonized,251487,4,78.77055648,6.451957665,4,4.1,Yes
LBY,Libya,6318.40314,46636278902,NA,NA,NA,NA,359675231.9,13848.795,69.339,7381023,1630146.582,4.527827794,81.907,Arabic,Muslims,98.99452209,0.049393948,3480,1,Multiple,78759,9,0.123327688,27.01671639,NA,0.1,Yes
LIE,Liechtenstein,NA,NA,5.86833,18129.75165,728.7616271,NA,NA,NA,84.84146341,40197,138.2752145,290.7028577,14.707,German,NA,NA,NA,NA,0,Never Colonized,101766,2,41.875,47.13662659,0,42.6,No
LTU,Lithuania,29386.28784,84869215513,1.05319,4153.6584,11995.99391,893834090.9,NA,50914.86381,76.98780488,2888055,64663.10523,44.66310409,68.936,Lithuanian,Christians,92.15046692,7.080081463,197942,0,Never Colonized,1501741,2,35.18074908,55.32377006,0,17.1,No
LUX,Luxembourg,137516.5873,93197329012,0.97653,4879.24254,3306.745616,910099877,NA,142424.7299,83.35853659,677717,2617.755029,258.892445,92.266,Luxembourgish,Christians,65.88789368,25.28631973,159455,0,Never Colonized,3489093,1,34.45382721,49.76678237,0,55.8,No
MAC,"Macao SAR, China",73046.88903,50183212761,0.26378,3826.96528,2629.125147,132373278.6,NA,116491.3772,83.1804878,687000,22.79087444,30143.64375,100,NA,NA,NA,NA,NA,NA,Unknown,84263,1,NA,22.22311755,0,NA,No
MDG,Madagascar,544.9973027,17420814801,0.01275,32.94427,1053.062141,2221153.887,1253593262,1808.44779,63.632,31964956,595923.2034,53.63938813,41.231,"Malagasy, Pleteau",Christians,74.2053833,22.29583359,6455437,1,France,3570408,7,21.34169251,-19.3164837,1016,7.5,No
MWI,Malawi,508.3712735,11008925323,NA,50.11331,1085.21806,NA,1731495850,1829.507689,67.353,21655286,120062.219,180.3671978,18.598,Nyanja,Christians,87.36235809,0.941342056,183881,1,Britain,559250,8,23.33156555,-13.20442537,14,22.9,No
MYS,Malaysia,11867.25864,4.21972E+11,0.95055,711.51035,25299.65236,4011055818,6578659.058,36416.54019,76.657,35557673,328379.4804,108.2822622,79.201,Malay,Muslims,64.11719513,0.844678819,286258,1,Multiple,4661382,12,58.02431898,3.811140433,303,13.3,No
MDV,Maldives,13215.53536,6975146349,NA,NA,NA,NA,200507659.9,24735.07543,81.041,527799,66.56078249,7929.579254,42.407,Dhivehi,Muslims,94.07234955,0.068035409,342,1,Britain,128391,1,2.733333333,3.728461174,0,2.3,No
MLI,Mali,1086.176218,26588067731,0.17385,28.66941,701.7868763,46223355.75,1292478638,3168.413347,60.439,24478595,1261023.403,19.41168969,46.934,Bamanankan,Muslims,94.13371277,2.525307894,548341,1,France,204289,5,10.89666363,17.31513901,3,7.5,No
MLT,Malta,42347.30739,24322006608,0.60433,2427.56223,1394.260657,146985182.5,NA,63084.70784,83.50731707,574346,274.3906005,2093.169368,95.006,Maltese,Christians,88.59967804,5.24495554,27180,0,Never Colonized,126559,1,1.4375,35.92147212,1,30.6,No
MHL,Marshall Islands,7466.651865,280357844.2,NA,NA,NA,NA,126128410.3,7532.174773,66.945,37548,237.9460758,157.8004591,79.208,Marshallese,NA,NA,NA,NA,1,Germany,185768,1,52.22222222,7.002791226,0,11.9,No
MRT,Mauritania,2082.783744,10766731874,0.01019,NA,NA,1097129.978,419490051.3,6946.193933,68.484,5169395,1040668.632,4.967378513,58.458,Hassaniyya,Muslims,99.18540192,0.106502414,4899,1,France,339840,8,0.298211604,20.22069377,3,0.6,No
MUS,Mauritius,11871.73368,14952555415,0.23401,852.67511,1073.951975,34990474.93,94860664.37,28923.35295,73.41219512,1259509,1883.42884,668.7319282,40.944,"Mauritian Creole, Morisyen",Hindus,48.28931046,0.753329694,9667,1,Multiple,183427,1,19.43415123,-20.27761959,51,4.7,No
MEX,Mexico,14157.94458,1.85272E+12,0.26819,272.31856,35635.88099,4968817506,451662292.5,24854.58221,75.069,130861007,1966673.32,66.53926997,81.862,Spanish,Christians,89.17308044,10.63434982,13484255,1,Spain,39924227,45,33.72720492,23.92415518,1012,14.6,Yes
FSM,"Micronesia, Fed. Sts.",4166.004767,471425099.5,NA,NA,NA,NA,125806556.7,4233.134049,67.198,113160,525.2516925,215.4395723,23.555,NA,NA,NA,NA,NA,1,Unknown,208151,2,92.07142857,7.53089209,28,0,No
MDA,Moldova,7617.516131,18200340854,0.22342,717.41595,1714.103994,40663201.54,1051385864,17746.94055,71.198,2389275,33191.15272,71.98529741,43.599,Romanian,Christians,99.53434753,0.233855382,7177,0,Never Colonized,151697,3,11.75129219,47.18717284,0,11.4,No
