iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_percent_urban,main_language,main_religion,main_religion_percentage,% atheists/non-religious,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count count of unique ecosystems in the country,pa_coverage_pct,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
FRA,France,46150.4876861593,3162079073495.78,2.23312,5181.84576,355042.966202346,70613020206.049,NA,58317.828030698,82.9292682926829,68516699,NA,NA,82.044,French,Christians,46.46761322,42.64575195,28105801,0,Never Colonized,2755757,NA,NA,32.1669913721124,NA,5,28.4,No
PYF,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,84.07,281807,2620.58750099638,107.535810154346,62.42,French,Christians,93.44609833,5.035518169,14060,NA,Unknown,179860,3,NA,43.0596369922213,-14.7131078768822,45,2,No
GAB,Gabon,8218.76307061848,20867044935.6729,NA,NA,NA,NA,53148811.340332,20757.0723768613,68.337,2538952,261246.365202686,9.71861177103908,91.307,French,Christians,83.74291992,5.762040138,133826,1,France,90625,4,NA,91.2745760080723,-0.586446577901781,13,22.4,No
GMB,Gambia,908.525674150965,2507519958.34857,0.06933,50.8608,140.3751976704,1738463.58712306,343857177.734375,3254.37457760999,65.86,2759988,10336.6848059325,267.009012252745,65.08,Mandinka,Muslims,97.00270844,0.017932352,451,1,Britain,14615,3,NA,23.4123814229249,13.4509534899632,1,7.7,No
GEO,Georgia,9193.66366361489,33776141250.5716,0.25283,1768.16486,6495.972470911,85396217.9238202,365216949.462891,25071.9677264107,74.496,3673850,69460.5759120515,52.8911537481592,61.162,Georgian,Christians,88.17262268,0.988308668,37513,0,Never Colonized,78539,4,NA,40.6159159591308,42.1729419848756,0,11.1,No
DEU,Germany,55800.2194549412,4659929336890.62,3.13236,5787.44181,483314.76362282,145965762577.027,NA,68692.894466622,80.5414634146342,83510950,356962.181393857,233.949012956802,77.895,German,Christians,56.23487854,36.14769745,30229853,0,Never Colonized,2053311,5,NA,32.6826755201923,51.050577200392,0,37.6,No
GHA,Ghana,2405.79466378083,82825288888.9734,0.37655,87.47972,3011.70053704408,311878625.311429,1571978515.625,7556.41605453234,65.498,34427414,240102.209662357,143.386493812003,59.854,Akan,Christians,71.28790283,1.068349838,340673,1,Multiple,86600,5,NA,35.1286771589176,7.94769971258465,9,14.8,No
GIB,Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,83.553,39329,NA,NA,100,English,NA,NA,NA,NA,NA,Unknown,1822,NA,NA,0,NA,0,0,Yes
GRC,Greece,24752.1068401681,257144811301.673,1.48596,4926.78077,51183.3646972799,3821069038.01834,NA,41181.9912164324,81.5365853658537,10388805,130457.980265793,79.6333423132415,80.984,Greek,Christians,89.47636414,4.742371082,507404,0,Never Colonized,360648,6,NA,30.2699767261443,39.0479596036559,19,35.2,No
GRL,Greenland,NA,NA,NA,NA,NA,NA,NA,78840.5978395988,71.549756097561,56836,2159634.7862199,0.0263174127230477,88.149,Greenlandic,NA,NA,NA,NA,NA,Unknown,274373,3,NA,5.3599707637958e-4,73.0812153456909,0,41.1,No
GRD,Grenada,11871.6117006031,1391435992.59259,NA,NA,NA,NA,38494625.0915527,19010.1841441188,75.205,117207,286.714055163376,408.794050690025,37.267,Grenadian Creole English,Christians,87.4744339,5.773053169,6716,1,Multiple,14721,3,NA,52.0588235294118,12.1172424375073,22,9.5,No
GUM,Guam,NA,NA,NA,NA,NA,NA,NA,NA,77.209,167777,483.194273582474,347.224727553322,95.24,English,Christians,94.01657867,1.833122969,2973,NA,Unknown,28737,1,NA,51.8518518518518,13.4416293842567,6,4.5,Yes
GTM,Guatemala,6150.02597767851,113199586004.477,0.05863,14.52588,267.36856207092,66368917.2744249,447018524.169922,13745.3625933533,72.602,18406359,108724.463345349,169.293629360437,53.542,Spanish,Christians,91.95026398,6.020942211,1045075,1,Spain,291058,12,NA,32.812616648003,15.6901195768513,86,20.1,Yes
GIN,Guinea,1717.02318120779,25334307878.737,NA,NA,NA,NA,531753295.898438,4333.74617312626,60.74,14754785,245474.11400427,60.1072950598096,38.517,French,Muslims,86.80789185,1.319620252,176449,1,France,55826,5,NA,25.0244180367898,10.4373187488031,15,37.6,No
GNB,Guinea-Bissau,962.983627901892,2119865935.24909,NA,NA,NA,NA,188911605.834961,2907.14089122524,64.085,2201352,32127.5411478255,68.5191558815883,45.893,Crioulo,Muslims,55.97904205,11.62231159,233987,1,Portugal,14018,2,NA,70.1127311522048,12.0477507880705,1,27.1,No
GUY,Guyana,29883.6341152001,24835899825.8993,NA,NA,NA,NA,139789916.992188,54729.0365156366,70.18,831087,212422.536378843,3.91242386126962,27.316,Guyanese Creole,Christians,65.87551117,2.908345699,23484,1,Multiple,172701,8,NA,87.1750179975372,4.78964290760043,33,8.5,No
HTI,Haiti,2142.62330526788,25224154990.7946,NA,NA,NA,NA,1077659423.82813,3281.21232071515,64.936,11772557,26865.0603818259,438.210703146756,60.472,Haitian Creole,Christians,88.71865845,9.434687614,1060822,1,France,94347,5,NA,12.4887518142235,18.9345751364595,92,8.6,No
HND,Honduras,3426.43483328923,37093565854.0437,0.05997,187.83669,2033.46421844307,22245011.44267,550766601.5625,7178.33906781522,72.884,10825703,113769.909134136,95.1543609588048,60.818,Spanish,Christians,88.47241211,9.74390316,986048,1,Spain,127881,7,NA,56.6476896952364,14.8290802781538,118,23.5,Yes
HKG,"Hong Kong SAR, China",54107.034521746,407106738445.069,1.10339,5273.74369,39680.174897929,4491975041.32905,NA,71505.8515687194,85.2473170731707,7524100,1031.22789613952,7296.2533579309,100,NA,NA,NA,NA,NA,NA,Unknown,NA,1,NA,NA,22.398260914216,6,41.9,No
